provinsi,tanggal,AKUMULASI_KASUS,KASUS,AKUMULASI_SEMBUH,SEMBUH,AKUMULASI_MENINGGAL,MENINGGAL,AKUMULASI_DIRAWAT_OR_ISOLASI,DIRAWAT_OR_ISOLASI
PAPUA,2020-03-01,0,0,0,0,0,0,0,0
PAPUA,2020-03-02,0,0,0,0,0,0,0,0
PAPUA,2020-03-03,0,0,0,0,0,0,0,0
PAPUA,2020-03-04,0,0,0,0,0,0,0,0
PAPUA,2020-03-05,0,0,0,0,0,0,0,0
PAPUA,2020-03-06,0,0,0,0,0,0,0,0
PAPUA,2020-03-07,0,0,0,0,0,0,0,0
PAPUA,2020-03-08,0,0,0,0,0,0,0,0
PAPUA,2020-03-09,0,0,0,0,0,0,0,0
PAPUA,2020-03-10,0,0,0,0,0,0,0,0
PAPUA,2020-03-11,0,0,0,0,0,0,0,0
PAPUA,2020-03-12,0,0,0,0,0,0,0,0
PAPUA,2020-03-13,0,0,0,0,0,0,0,0
PAPUA,2020-03-14,0,0,0,0,0,0,0,0
PAPUA,2020-03-15,0,0,0,0,0,0,0,0
PAPUA,2020-03-16,0,0,0,0,0,0,0,0
PAPUA,2020-03-17,0,0,0,0,0,0,0,0
PAPUA,2020-03-18,0,0,0,0,0,0,0,0
PAPUA,2020-03-19,0,0,0,0,0,0,0,0
PAPUA,2020-03-20,0,0,0,0,0,0,0,0
PAPUA,2020-03-21,0,0,0,0,0,0,0,0
PAPUA,2020-03-22,2,2,0,0,0,0,2,2
PAPUA,2020-03-23,2,0,0,0,0,0,2,0
PAPUA,2020-03-24,2,0,0,0,0,0,2,0
PAPUA,2020-03-25,2,0,0,0,0,0,2,0
PAPUA,2020-03-26,6,4,0,0,0,0,6,4
PAPUA,2020-03-27,6,0,0,0,0,0,6,0
PAPUA,2020-03-28,6,0,0,0,0,0,6,0
PAPUA,2020-03-29,8,2,0,0,0,0,8,2
PAPUA,2020-03-30,8,0,0,0,0,0,8,0
PAPUA,2020-03-31,9,1,1,1,0,0,8,0
PAPUA,2020-04-01,9,0,2,1,0,0,7,-1
PAPUA,2020-04-02,9,0,3,1,0,0,6,-1
PAPUA,2020-04-03,15,6,3,0,1,1,11,5
PAPUA,2020-04-04,17,2,4,1,1,0,12,1
PAPUA,2020-04-05,25,8,4,0,1,0,20,8
PAPUA,2020-04-06,25,0,4,0,2,1,19,-1
PAPUA,2020-04-07,25,0,4,0,3,1,18,-1
PAPUA,2020-04-08,36,11,4,0,3,0,29,11
PAPUA,2020-04-09,36,0,4,0,3,0,29,0
PAPUA,2020-04-10,36,0,5,1,4,1,27,-2
PAPUA,2020-04-11,60,24,7,2,4,0,49,22
PAPUA,2020-04-12,61,1,9,2,4,0,48,-1
PAPUA,2020-04-13,67,6,9,0,4,0,54,6
PAPUA,2020-04-14,67,0,9,0,4,0,54,0
PAPUA,2020-04-15,74,7,9,0,4,0,61,7
PAPUA,2020-04-16,79,5,14,5,6,2,59,-2
PAPUA,2020-04-17,88,9,14,0,6,0,68,9
PAPUA,2020-04-18,94,6,14,0,6,0,74,6
PAPUA,2020-04-19,106,12,14,0,6,0,86,12
PAPUA,2020-04-20,106,0,28,14,6,0,72,-14
PAPUA,2020-04-21,117,11,32,4,6,0,79,7
PAPUA,2020-04-22,122,5,32,0,6,0,84,5
PAPUA,2020-04-23,129,7,32,0,6,0,91,7
PAPUA,2020-04-24,135,6,32,0,6,0,97,6
PAPUA,2020-04-25,135,0,32,0,6,0,97,0
PAPUA,2020-04-26,140,5,32,0,6,0,102,5
PAPUA,2020-04-27,150,10,32,0,6,0,112,10
PAPUA,2020-04-28,176,26,47,15,6,0,123,11
PAPUA,2020-04-29,188,12,47,0,6,0,135,12
PAPUA,2020-04-30,204,16,47,0,6,0,151,16
PAPUA,2020-05-01,209,5,48,1,6,0,155,4
PAPUA,2020-05-02,238,29,48,0,6,0,184,29
PAPUA,2020-05-03,238,0,48,0,6,0,184,0
PAPUA,2020-05-04,238,0,48,0,6,0,184,0
PAPUA,2020-05-05,244,6,48,0,6,0,190,6
PAPUA,2020-05-06,245,1,48,0,6,0,191,1
PAPUA,2020-05-07,249,4,48,0,6,0,195,4
PAPUA,2020-05-08,262,13,48,0,6,0,208,13
PAPUA,2020-05-09,274,12,48,0,6,0,220,12
PAPUA,2020-05-10,304,30,48,0,6,0,250,30
PAPUA,2020-05-11,304,0,48,0,6,0,250,0
PAPUA,2020-05-12,320,16,48,0,6,0,266,16
PAPUA,2020-05-13,325,5,48,0,6,0,271,5
PAPUA,2020-05-14,329,4,48,0,6,0,275,4
PAPUA,2020-05-15,332,3,48,0,6,0,278,3
PAPUA,2020-05-16,347,15,48,0,6,0,293,15
PAPUA,2020-05-17,380,33,48,0,6,0,326,33
PAPUA,2020-05-18,380,0,48,0,6,0,326,0
PAPUA,2020-05-19,386,6,48,0,6,0,332,6
PAPUA,2020-05-20,406,20,48,0,6,0,352,20
PAPUA,2020-05-21,407,1,48,0,6,0,353,1
PAPUA,2020-05-22,434,27,48,0,6,0,380,27
PAPUA,2020-05-23,490,56,48,0,6,0,436,56
PAPUA,2020-05-24,552,62,48,0,6,0,498,62
PAPUA,2020-05-25,561,9,68,20,6,0,487,-11
PAPUA,2020-05-26,561,0,68,0,6,0,487,0
PAPUA,2020-05-27,575,14,68,0,6,0,501,14
PAPUA,2020-05-28,579,4,68,0,6,0,505,4
PAPUA,2020-05-29,635,56,68,0,6,0,561,56
PAPUA,2020-05-30,653,18,68,0,6,0,579,18
PAPUA,2020-05-31,670,17,68,0,6,0,596,17
PAPUA,2020-06-01,712,42,68,0,6,0,638,42
PAPUA,2020-06-02,811,99,78,10,7,1,726,88
PAPUA,2020-06-03,857,46,78,0,7,0,772,46
PAPUA,2020-06-04,874,17,78,0,7,0,789,17
PAPUA,2020-06-05,917,43,78,0,7,0,832,43
PAPUA,2020-06-06,1004,87,78,0,7,0,919,87
PAPUA,2020-06-07,1060,56,78,0,7,0,975,56
PAPUA,2020-06-08,1086,26,78,0,7,0,1001,26
PAPUA,2020-06-09,1104,18,78,0,7,0,1019,18
PAPUA,2020-06-10,1133,29,78,0,7,0,1048,29
PAPUA,2020-06-11,1152,19,78,0,7,0,1067,19
PAPUA,2020-06-12,1183,31,78,0,7,0,1098,31
PAPUA,2020-06-13,1228,45,78,0,7,0,1143,45
PAPUA,2020-06-14,1240,12,128,50,7,0,1105,-38
PAPUA,2020-06-15,1240,0,191,63,7,0,1042,-63
PAPUA,2020-06-16,1271,31,294,103,7,0,970,-72
PAPUA,2020-06-17,1301,30,297,3,7,0,997,27
PAPUA,2020-06-18,1339,38,297,0,7,0,1035,38
PAPUA,2020-06-19,1357,18,297,0,7,0,1053,18
PAPUA,2020-06-20,1369,12,297,0,7,0,1065,12
PAPUA,2020-06-21,1418,49,297,0,7,0,1114,49
PAPUA,2020-06-22,1429,11,297,0,7,0,1125,11
PAPUA,2020-06-23,1484,55,297,0,7,0,1180,55
PAPUA,2020-06-24,1541,57,297,0,7,0,1237,57
PAPUA,2020-06-25,1601,60,297,0,7,0,1297,60
PAPUA,2020-06-26,1621,20,297,0,7,0,1317,20
PAPUA,2020-06-27,1658,37,297,0,7,0,1354,37
PAPUA,2020-06-28,1684,26,632,335,7,0,1045,-309
PAPUA,2020-06-29,1686,2,737,105,7,0,942,-103
PAPUA,2020-06-30,1749,63,856,119,15,8,878,-64
PAPUA,2020-07-01,1845,96,870,14,15,0,960,82
PAPUA,2020-07-02,0,0,0,0,0,0,0,0
