date,total_confirmed,confirmed,total_recover,recover,total_death,death,total_active,active
2020-03-01,0,0,0,0,0,0,0,0
2020-03-11,0,0,0,0,0,0,0,0
2020-03-30,3,3,0,0,0,0,3,3
2020-04-09,16,13,6,6,1,1,9,6
2020-04-19,42,26,8,2,3,2,31,22
2020-04-29,123,81,12,4,6,3,105,74
2020-05-09,185,62,30,18,10,4,145,40
2020-05-19,228,43,49,19,10,0,169,24
2020-05-29,359,131,120,71,16,6,223,54
2020-06-08,500,141,162,42,27,11,311,88
2020-06-18,734,234,244,82,43,16,447,136
2020-06-28,830,96,297,53,52,9,481,34
2020-07-08,1069,239,449,152,61,9,559,78
2020-07-13,1218,149,506,57,69,8,643,84
