date,total_confirmed,confirmed,total_recover,recover,total_death,death,total_active,active
2020-03-01,0,0,0,0,0,0,0,0
2020-03-11,0,0,0,0,0,0,0,0
2020-03-30,1,1,0,0,0,0,1,1
2020-04-09,16,15,1,1,0,0,15,14
2020-04-19,88,72,3,2,1,1,84,69
2020-04-29,143,55,23,20,1,0,119,35
2020-05-09,277,134,54,31,8,7,215,96
2020-05-19,593,316,76,22,21,13,496,281
2020-05-29,950,357,135,59,30,9,785,289
2020-06-08,1152,202,390,255,41,11,721,-64
2020-06-18,1595,443,707,317,63,22,825,104
2020-06-28,1998,403,953,246,80,17,965,140
2020-07-08,2418,420,1219,266,111,31,1088,123
2020-07-13,2702,284,1306,87,123,12,1273,185
