date,total_confirmed,confirmed,total_recover,recover,total_death,death,total_active,active
2020-03-01,0,0,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0,0,0
2020-03-20,2,2,1,1,0,0,1,1
2020-03-24,2,0,1,0,1,1,0,-1
2020-03-28,28,26,5,4,3,2,20,20
2020-04-01,53,25,10,5,9,6,34,14
2020-04-05,136,83,17,7,15,6,104,70
2020-04-09,173,37,36,19,17,2,120,16
2020-04-13,388,215,53,17,26,9,309,189
2020-04-17,472,84,82,29,45,19,345,36
2020-04-21,553,81,89,7,57,12,407,62
2020-04-25,717,164,121,32,74,17,522,115
2020-04-29,820,103,140,19,93,19,587,65
2020-05-03,1057,237,162,22,110,17,785,198
2020-05-07,1209,152,194,32,132,22,883,98
2020-05-11,1477,268,232,38,148,16,1097,214
2020-05-15,1856,379,282,50,177,29,1397,300
2020-05-19,2304,448,363,81,221,44,1720,323
2020-05-23,3493,1189,414,51,268,47,2811,1091
2020-05-27,4035,542,510,96,317,49,3208,397
2020-05-31,4756,721,597,87,393,76,3766,558
2020-06-04,5315,559,1077,480,434,41,3804,38
2020-06-08,6182,867,1486,409,500,66,4196,392
2020-06-12,7238,1056,1852,366,573,73,4813,617
2020-06-16,8137,899,2309,457,636,63,5192,379
2020-06-20,9274,1137,2649,340,697,61,5928,736
2020-06-24,10085,811,2980,331,749,52,6356,428
2020-06-28,11305,1220,3703,723,829,80,6773,417
2020-07-02,12468,1163,4373,670,948,119,7147,374
2020-07-06,14143,1675,4980,607,1052,104,8111,964
2020-07-10,15602,1459,5799,819,1151,99,8652,541
2020-07-13,16828,1226,6597,798,1225,74,9006,354
