date,total_confirmed,confirmed,total_recover,recover,total_active,active,total_death,death
2020-03-12,34,34,2,2,31,31,1,1
2020-03-24,685,651,30,28,600,569,55,54
2020-04-05,2273,1588,164,134,1911,1311,198,143
2020-04-17,5923,3650,607,443,4796,2885,520,322
2020-04-29,9771,3848,1391,784,7596,2800,784,264
2020-05-11,14265,4494,2881,1490,10393,2797,991,207
2020-05-23,21745,7480,5249,2368,15145,4752,1351,360
2020-06-04,28818,7073,8892,3643,18205,3060,1721,370
2020-06-16,40400,11582,15703,6811,22466,4261,2231,510
2020-06-28,54010,13610,22936,7233,28320,5854,2754,523
2020-07-10,72347,18337,33529,10593,35349,7029,3469,715
2020-07-14,78572,6225,37636,4107,37226,1877,3710,241
