date,total_confirmed,confirmed,total_recover,recover,total_death,death,total_active,active
2020-03-01,0,0,0,0,0,0,0,0
2020-03-12,0,0,0,0,0,0,0,0
2020-03-23,2,2,0,0,0,0,2,2
2020-04-03,16,14,0,0,1,1,15,13
2020-04-14,77,61,2,2,1,0,74,59
2020-04-25,131,54,6,4,1,0,124,50
2020-05-06,153,22,41,35,1,0,111,-13
2020-05-17,165,12,69,28,2,1,94,-17
2020-05-28,169,4,119,50,2,0,48,-46
2020-06-08,171,2,147,28,2,0,22,-26
2020-06-19,204,33,157,10,2,0,45,23
2020-06-30,214,10,188,31,2,0,24,-21
2020-07-11,215,1,188,0,2,0,25,1
