date,total_confirmed,confirmed,total_recover,recover,total_active,active,total_death,death
2020-03-01,19,19,0,0,19,19,0,0
2020-03-10,227,208,11,11,197,178,19,19
2020-03-19,1046,819,46,35,913,716,87,68
2020-03-28,2273,1227,164,118,1911,998,198,111
2020-04-06,4839,2566,426,262,3954,2043,459,261
2020-04-15,7775,2936,960,534,6168,2214,647,188
2020-04-24,10843,3068,1665,705,8347,2179,831,184
2020-05-03,14265,3422,2881,1216,10393,2046,991,160
2020-05-12,19189,4924,4575,1694,13372,2979,1242,251
2020-05-21,25216,6027,6492,1917,17204,3832,1520,278
2020-05-30,31186,5970,10498,4006,18837,1633,1851,331
2020-06-08,40400,9214,15703,5205,22466,3629,2231,380
2020-06-17,50187,9787,20449,4746,27118,4652,2620,389
2020-06-26,62142,11955,28219,7770,30834,3716,3089,469
2020-07-05,76981,14839,36689,8470,36636,5802,3656,567
2020-07-14,78572,1591,37636,947,37226,590,3710,54
