date,total_confirmed,confirmed,total_recover,recover,total_death,death,total_active,active
2020-03-03,4,4,0,0,1,1,3,3
2020-03-06,6,2,0,0,1,0,5,2
2020-03-09,6,0,0,0,1,0,5,0
2020-03-12,8,2,0,0,2,1,6,1
2020-03-15,12,4,4,4,2,0,6,0
2020-03-18,29,17,5,1,3,1,21,15
2020-03-21,57,28,5,0,6,3,46,25
2020-03-24,69,12,6,1,12,6,51,5
2020-03-27,108,39,6,0,16,4,86,35
2020-03-30,189,81,11,5,20,4,158,72
2020-04-02,246,57,12,1,24,4,210,52
2020-04-05,283,37,14,2,27,3,242,32
2020-04-08,408,125,19,5,33,6,356,114
2020-04-11,485,77,22,3,40,7,423,67
2020-04-14,600,115,29,7,54,14,517,94
2020-04-17,724,124,51,22,61,7,612,95
2020-04-20,820,96,64,13,65,4,691,79
2020-04-23,873,53,99,35,76,11,698,7
2020-04-26,1006,133,106,7,78,2,822,124
2020-04-29,1105,99,123,17,80,2,902,80
2020-05-02,1150,45,166,43,85,5,899,-3
2020-05-05,1403,253,191,25,90,5,1122,223
2020-05-08,1507,104,211,20,95,5,1201,79
2020-05-11,1593,86,241,30,101,6,1251,50
2020-05-14,1664,71,279,38,102,1,1283,32
2020-05-17,1753,89,357,78,113,11,1283,0
2020-05-20,1940,187,450,93,128,15,1362,79
2020-05-23,2106,166,515,65,132,4,1459,97
2020-05-26,2190,84,556,41,142,10,1492,33
2020-05-29,2278,88,645,89,148,6,1485,-7
2020-06-01,2377,99,696,51,150,2,1531,46
2020-06-04,2407,30,809,113,161,11,1437,-94
2020-06-07,2469,62,982,173,164,3,1323,-114
2020-06-10,2573,104,1110,128,167,3,1296,-27
2020-06-13,2648,75,1213,103,167,0,1268,-28
2020-06-16,2724,76,1275,62,168,1,1281,13
2020-06-19,2881,157,1386,111,177,9,1318,37
2020-06-22,2940,59,1413,27,177,0,1350,32
2020-06-25,3059,119,1520,107,179,2,1360,10
2020-06-28,3168,109,1655,135,181,2,1332,-28
2020-07-01,3344,176,1757,102,183,2,1404,72
2020-07-04,3528,184,1828,71,183,0,1517,113
2020-07-07,3844,316,1911,83,186,3,1747,230
2020-07-10,5012,1168,1999,88,192,6,2821,1074
2020-07-13,5218,206,2056,57,193,1,2969,148
2020-07-16,5408,190,2255,199,195,2,2958,-11
2020-07-19,5543,135,2310,55,197,2,3036,78
2020-07-22,5698,155,2459,149,201,4,3038,2
2020-07-25,5922,224,2524,65,202,1,3196,158
2020-07-28,6160,238,3560,1036,202,0,2398,-798
2020-07-31,6471,311,3959,399,206,4,2306,-92
2020-08-03,6643,172,4032,73,206,0,2405,99
2020-08-06,6943,300,4243,211,212,6,2488,83
2020-08-09,7512,569,4411,168,223,11,2878,390
2020-08-12,7745,233,4548,137,228,5,2969,91
2020-08-15,8440,695,4621,73,230,2,3589,620
2020-08-18,8607,167,4723,102,233,3,3651,62
2020-08-21,9001,394,4965,242,247,14,3789,138
2020-08-24,9358,357,5867,902,257,10,3234,-555
2020-08-27,9950,592,5989,122,258,1,3703,469
2020-08-30,10905,955,6088,99,260,2,4557,854
2020-09-02,11472,567,6334,246,271,11,4867,310
2020-09-03,0,0,0,0,0,0,0,0
