zone,last_update,value,percentage,population
DKI_JAKARTA,2020-07-13,847,,11058944
PAPUA,2020-07-13,629,,1740450
JAWA_TIMUR,2020-07-13,597,,11058944
MALUKU,2020-07-13,538,,1054437
BALI,2020-07-13,353,,4247341
SULAWESI_SELATAN,2020-07-13,273,,11058944
GORONTALO,2020-07-13,223,,1068216
JAWA_TENGAH,2020-07-13,177,,11058944
JAWA_BARAT,2020-07-13,171,,11058944
NATIONAL,2020-07-14,153,,245596822
KALIMANTAN_SELATAN,2020-07-13,127,,11058944
SUMATERA_SELATAN,2020-07-13,118,,11058944
BANTEN,2020-07-13,105,,10451189
NUSA_TENGGARA_BARAT,2020-07-13,89,,11058944
BENGKULU,2020-07-12,82,,1248241
SUMATERA_BARAT,2020-07-12,61,,11058944
SUMATERA_UTARA,2020-07-13,52,,11058944
KALIMANTAN_TENGAH,2020-07-13,46,,11058944
KALIMANTAN_TIMUR,2020-07-13,45,,11058944
RIAU,2020-07-13,40,,5492714
SULAWESI_UTARA,2020-07-13,34,,11058944
KALIMANTAN_BARAT,2020-07-13,30,,11058944
SULAWESI_TENGGARA,2020-07-13,30,,11058944
DAERAH_ISTIMEWA_YOGYAKARTA,2020-07-13,27,,11058944
JAMBI,2020-07-09,26,,3080619
KEPULAUAN_RIAU,2020-07-12,26,,11058944
LAMPUNG,2020-07-13,19,,8455434
KALIMANTAN_UTARA,2020-07-13,17,,11058944
PAPUA_BARAT,2020-07-12,17,,11058944
ACEH,2020-07-12,16,,3856404
SULAWESI_TENGAH,2020-07-08,15,,11058944
KEPULAUAN_BANGKA_BELITUNG,2020-07-11,13,,11058944
MALUKU_UTARA,2020-07-13,12,,11058944
SULAWESI_BARAT,2020-07-13,9,,11058944
NUSA_TENGGARA_TIMUR,2020-07-08,8,,11058944
