zone,last_update,value,percentage,population
KALIMANTAN_SELATAN,2020-07-20,25,,3215366
GORONTALO,2020-07-20,18,,1068216
JAWA_TIMUR,2020-07-20,17,,40531918
SULAWESI_SELATAN,2020-07-20,17,,8340621
MALUKU_UTARA,2020-07-20,16,,885950
KALIMANTAN_TENGAH,2020-07-19,15,,2251078
SULAWESI_UTARA,2020-07-20,15,,2154904
DKI_JAKARTA,2020-07-20,14,,11058944
PAPUA,2020-07-20,11,,1740450
NUSA_TENGGARA_BARAT,2020-07-20,10,,4736032
SUMATERA_SELATAN,2020-07-20,9,,7467555
BALI,2020-07-20,8,,4247341
NATIONAL,2020-07-24,8,,245596822
MALUKU,2020-07-20,7,,1054437
BENGKULU,2020-07-19,6,,1248241
JAWA_TENGAH,2020-07-20,6,,36461504
SUMATERA_UTARA,2020-07-20,6,,13181814
KALIMANTAN_TIMUR,2020-07-20,4,,3439150
SULAWESI_TENGGARA,2020-07-20,4,,1487542
PAPUA_BARAT,2020-07-20,3,,735514
ACEH,2020-07-20,2,,3856404
DAERAH_ISTIMEWA_YOGYAKARTA,2020-07-20,1,,3656108
JAMBI,2020-07-18,1,,3080619
RIAU,2020-07-20,1,,5492714
SULAWESI_BARAT,2020-07-20,1,,1256533
SULAWESI_TENGAH,2020-07-19,1,,2047415
SUMATERA_BARAT,2020-07-20,1,,5135071
BANTEN,2020-07-20,0,,10451189
JAWA_BARAT,2020-07-20,0,,45485037
KALIMANTAN_BARAT,2020-07-16,0,,4641876
KALIMANTAN_UTARA,2020-07-20,0,,560965
KEPULAUAN_BANGKA_BELITUNG,2020-07-20,0,,1330690
KEPULAUAN_RIAU,2020-07-19,0,,1744063
LAMPUNG,2020-07-19,0,,8455434
NUSA_TENGGARA_TIMUR,2020-07-20,0,,3096127
