date,total_confirmed,confirmed,total_recover,recover,total_death,death,total_active,active
2020-03-01,0,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0,0,0
2020-03-11,0,0,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0,0,0
2020-03-21,0,0,0,0,0,0,0,0
2020-03-23,0,0,0,0,0,0,0,0
2020-03-25,3,3,0,0,0,0,3,3
2020-03-27,5,2,0,0,0,0,5,2
2020-03-29,8,3,0,0,0,0,8,3
2020-03-31,8,0,0,0,0,0,8,0
2020-04-02,8,0,0,0,0,0,8,0
2020-04-04,8,0,0,0,0,0,8,0
2020-04-06,18,10,0,0,0,0,18,10
2020-04-08,18,0,0,0,0,0,18,0
2020-04-10,31,13,5,5,3,3,23,5
2020-04-12,45,14,6,1,3,0,36,13
2020-04-14,55,10,7,1,4,1,44,8
2020-04-16,62,7,10,3,6,2,46,2
2020-04-18,72,10,12,2,7,1,53,7
2020-04-20,76,4,13,1,8,1,55,2
2020-04-22,86,10,16,3,9,1,61,6
2020-04-24,97,11,21,5,11,2,65,4
2020-04-26,121,24,25,4,14,3,82,17
2020-04-28,145,24,25,0,15,1,105,23
2020-04-30,172,27,31,6,15,0,126,21
2020-05-02,195,23,36,5,16,1,143,17
2020-05-04,221,26,39,3,16,0,166,23
2020-05-06,252,31,42,3,18,2,192,26
2020-05-08,286,34,55,13,18,0,213,21
2020-05-10,299,13,68,13,18,0,213,0
2020-05-12,339,40,84,16,20,2,235,22
2020-05-14,393,54,90,6,22,2,281,46
2020-05-16,408,15,96,6,23,1,289,8
2020-05-18,420,12,118,22,23,0,279,-10
2020-05-20,436,16,153,35,24,1,259,-20
2020-05-22,443,7,176,23,25,1,242,-17
2020-05-24,478,35,186,10,25,0,267,25
2020-05-26,537,59,236,50,26,1,275,8
2020-05-28,541,4,250,14,26,0,265,-10
2020-05-30,567,26,265,15,26,0,276,11
2020-06-01,574,7,272,7,26,0,276,0
2020-06-03,594,20,312,40,26,0,256,-20
2020-06-05,618,24,336,24,27,1,255,-1
2020-06-07,626,8,351,15,27,0,248,-7
2020-06-09,659,33,389,38,29,2,241,-7
2020-06-11,671,12,407,18,29,0,235,-6
2020-06-13,681,10,423,16,30,1,228,-7
2020-06-15,687,6,459,36,30,0,198,-30
2020-06-17,696,9,482,23,30,0,184,-14
2020-06-19,703,7,497,15,30,0,176,-8
2020-06-21,707,4,505,8,30,0,172,-4
2020-06-23,715,8,539,34,30,0,146,-26
2020-06-25,720,5,571,32,31,1,118,-28
2020-06-27,725,5,587,16,31,0,107,-11
2020-06-29,726,1,600,13,31,0,95,-12
2020-07-01,750,24,618,18,31,0,101,6
2020-07-03,762,12,624,6,31,0,107,6
2020-07-05,775,13,627,3,31,0,117,10
2020-07-07,780,5,647,20,32,1,101,-16
2020-07-09,791,11,661,14,32,0,98,-3
2020-07-11,800,9,671,10,32,0,97,-1
2020-07-13,0,0,0,0,0,0,0,0
