date,total_confirmed,confirmed,total_recover,recover,total_death,death,total_active,active
2020-03-01,0,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0,0,0
2020-03-06,1,1,0,0,0,0,1,1
2020-03-07,1,0,0,0,0,0,1,0
2020-03-08,2,1,0,0,0,0,2,1
2020-03-09,2,0,0,0,0,0,2,0
2020-03-10,2,0,0,0,0,0,2,0
2020-03-11,2,0,0,0,0,0,2,0
2020-03-12,2,0,0,0,1,1,1,-1
2020-03-13,3,1,0,0,1,0,2,1
2020-03-14,4,1,0,0,1,0,3,1
2020-03-15,5,1,0,0,1,0,4,1
2020-03-16,6,1,0,0,1,0,5,1
2020-03-17,6,0,0,0,2,1,4,-1
2020-03-18,6,0,0,0,2,0,4,0
2020-03-19,6,0,0,0,3,1,3,-1
2020-03-20,6,0,0,0,4,1,2,-1
2020-03-21,6,0,0,0,4,0,2,0
2020-03-22,6,0,0,0,4,0,2,0
2020-03-23,6,0,0,0,4,0,2,0
2020-03-24,6,0,1,1,4,0,1,-1
2020-03-25,6,0,1,0,4,0,1,0
2020-03-26,6,0,2,1,4,0,0,-1
2020-03-27,31,25,2,0,4,0,25,25
2020-03-28,41,10,3,1,4,0,34,9
2020-03-29,43,2,3,0,6,2,34,0
2020-03-30,65,22,3,0,6,0,56,22
2020-03-31,79,14,3,0,14,8,62,6
2020-04-01,91,12,8,5,14,0,69,7
2020-04-02,97,6,8,0,15,1,74,5
2020-04-03,101,4,8,0,18,3,75,1
2020-04-04,104,3,8,0,18,0,78,3
2020-04-05,108,4,8,0,18,0,82,4
2020-04-06,117,9,9,1,19,1,89,7
2020-04-07,123,6,9,0,20,1,94,5
2020-04-08,142,19,9,0,20,0,113,19
2020-04-09,145,3,9,0,22,2,114,1
2020-04-10,166,21,9,0,23,1,134,20
2020-04-11,197,31,10,1,23,0,164,30
2020-04-12,199,2,11,1,23,0,165,1
2020-04-13,202,3,11,0,24,1,167,2
2020-04-14,207,5,11,0,24,0,172,5
2020-04-15,207,0,12,1,26,2,169,-3
2020-04-16,222,15,12,0,32,6,178,9
2020-04-17,230,8,12,0,34,2,184,6
2020-04-18,241,11,12,0,34,0,195,11
2020-04-19,244,3,12,0,34,0,198,3
2020-04-20,273,29,18,6,34,0,221,23
2020-04-21,273,0,18,0,34,0,221,0
2020-04-22,274,1,29,11,34,0,211,-10
2020-04-23,277,3,29,0,34,0,214,3
2020-04-24,300,23,33,4,38,4,229,15
2020-04-25,311,11,33,0,38,0,240,11
2020-04-26,311,0,33,0,38,0,240,0
2020-04-27,323,12,33,0,39,1,251,11
2020-04-28,329,6,33,0,40,1,256,5
2020-04-29,329,0,33,0,40,0,256,0
2020-04-30,345,16,34,1,40,0,271,15
2020-05-01,359,14,34,0,40,0,285,14
2020-05-02,368,9,34,0,40,0,294,9
2020-05-03,373,5,34,0,40,0,299,5
2020-05-04,387,14,34,0,40,0,313,14
2020-05-05,397,10,117,83,40,0,240,-73
2020-05-06,426,29,122,5,40,0,264,24
2020-05-07,426,0,122,0,55,15,249,-15
2020-05-08,446,20,122,0,55,0,269,20
2020-05-09,465,19,122,0,55,0,288,19
2020-05-10,475,10,122,0,55,0,298,10
2020-05-11,483,8,146,24,55,0,282,-16
2020-05-12,501,18,153,7,55,0,293,11
2020-05-13,521,20,157,4,56,1,308,15
2020-05-14,535,14,158,1,56,0,321,13
2020-05-15,563,28,158,0,59,3,346,25
2020-05-16,563,0,158,0,60,1,345,-1
2020-05-17,587,24,159,1,60,0,368,23
2020-05-18,618,31,162,3,61,1,395,27
2020-05-19,639,21,162,0,61,0,416,21
2020-05-20,640,1,162,0,61,0,417,1
2020-05-21,693,53,171,9,64,3,458,41
2020-05-22,708,15,172,1,65,1,471,13
2020-05-23,708,0,172,0,65,0,471,0
2020-05-24,729,21,176,4,65,0,488,17
