date,total_confirmed,confirmed,total_recover,recover,total_death,death,total_active,active
2020-03-01,0,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0,0,0
2020-03-18,2,2,0,0,0,0,2,2
2020-03-21,2,0,1,1,0,0,1,-1
2020-03-24,2,0,1,0,1,1,0,-1
2020-03-27,17,15,5,4,3,2,9,9
2020-03-30,41,24,5,0,7,4,29,20
2020-04-02,53,12,12,7,10,3,31,2
2020-04-05,136,83,17,5,15,5,104,73
2020-04-08,146,10,29,12,15,0,102,-2
2020-04-11,217,71,49,20,24,9,144,42
2020-04-14,424,207,60,11,39,15,325,181
2020-04-17,472,48,82,22,45,6,345,20
2020-04-20,538,66,88,6,56,11,394,49
2020-04-23,612,74,100,12,59,3,453,59
2020-04-26,734,122,126,26,86,27,522,69
2020-04-29,820,86,140,14,93,7,587,65
2020-05-02,985,165,153,13,105,12,727,140
2020-05-05,1108,123,168,15,116,11,824,97
2020-05-08,1227,119,203,35,137,21,887,63
2020-05-11,1477,250,232,29,148,11,1097,210
2020-05-14,1796,319,266,34,166,18,1364,267
2020-05-17,2086,290,300,34,193,27,1593,229
2020-05-20,2427,341,375,75,227,34,1825,232
2020-05-23,3490,1063,414,39,268,41,2808,983
2020-05-26,3856,366,494,80,298,30,3064,256
2020-05-29,4325,469,558,64,342,44,3425,361
2020-06-01,4825,500,642,84,409,67,3774,349
2020-06-04,5311,486,1077,435,434,25,3800,26
2020-06-07,5820,509,1396,319,481,47,3943,143
2020-06-10,6635,815,1668,272,527,46,4440,497
2020-06-13,7409,774,2100,432,587,60,4722,282
2020-06-16,8119,710,2309,209,636,49,5174,452
2020-06-19,8877,758,2546,237,677,41,5654,480
2020-06-22,9644,767,2840,294,727,50,6077,423
2020-06-25,10308,664,3221,381,763,36,6324,247
2020-06-28,11270,962,3703,482,829,66,6738,414
2020-07-01,12073,803,4182,479,926,97,6965,227
2020-07-04,13185,1112,4722,540,996,70,7467,502
2020-07-07,14393,1208,5098,376,1078,82,8217,750
2020-07-10,15523,1130,5799,701,1151,73,8573,356
2020-07-13,16705,1182,6597,798,1225,74,8883,310
2020-07-16,17445,740,7913,1316,1300,75,8232,-651
2020-07-19,18255,810,9330,1417,1400,100,7525,-707
2020-07-20,18496,241,9705,375,1432,32,7359,-166
