date,total_confirmed,confirmed,total_recover,recover,total_active,active,total_death,death
2020-03-01,96,96,8,8,83,83,5,5
2020-03-15,1155,1059,59,51,994,911,102,97
2020-03-29,3842,2687,286,227,3229,2235,327,225
2020-04-12,8607,4765,1042,756,6845,3616,720,393
2020-04-26,13645,5038,2607,1565,10079,3234,959,239
2020-05-10,21745,8100,5249,2642,15145,5066,1351,392
2020-05-24,30514,8769,9907,4658,18806,3661,1801,450
2020-06-07,45029,14515,17883,7976,24717,5911,2429,628
2020-06-21,62142,17113,28219,10336,30834,6117,3089,660
2020-07-05,78572,16430,37636,9417,37226,6392,3710,621
