date,total_confirmed,confirmed,total_recover,recover,total_death,death,total_active,active
2020-03-01,0,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0,0,0
2020-03-22,0,0,0,0,0,0,0,0
2020-04-04,4,4,0,0,0,0,4,4
2020-04-11,23,19,2,2,2,2,19,15
2020-04-18,53,30,2,0,2,0,49,30
2020-04-25,178,125,20,18,4,2,154,105
2020-05-02,248,70,32,12,4,0,212,58
2020-05-09,328,80,87,55,6,2,235,23
2020-05-16,363,35,188,101,7,1,168,-67
2020-05-23,472,109,227,39,8,1,237,69
2020-05-30,592,120,279,52,10,2,303,66
2020-06-06,796,204,311,32,21,11,464,161
2020-06-13,902,106,541,230,33,12,328,-136
2020-06-20,1049,147,727,186,44,11,278,-50
2020-06-27,1161,112,796,69,50,6,315,37
2020-07-04,1309,148,878,82,64,14,367,52
2020-07-11,1516,207,965,87,74,10,477,110
2020-07-18,1692,176,1089,124,89,15,514,37
2020-07-25,1881,189,1173,84,103,14,605,91
2020-07-30,2020,139,1264,91,108,5,648,43
