date,total_confirmed,confirmed,total_recover,recover,total_death,death,total_active,active
2020-03-01,0,0,0,0,0,0,0,0
2020-03-28,1,1,0,0,2,2,-1,-1
2020-04-11,48,47,8,8,8,6,32,33
2020-04-25,98,50,21,13,12,4,65,33
2020-05-09,172,74,48,27,24,12,100,35
2020-05-23,287,115,102,54,35,11,150,50
2020-06-06,596,309,179,77,46,11,371,221
2020-06-20,1075,479,255,76,68,22,752,381
2020-07-04,1758,683,460,205,103,35,1195,443
2020-07-18,2914,1156,697,237,145,42,2072,877
2020-08-01,3955,1041,1484,787,193,48,2278,206
2020-08-15,5615,1660,2511,1027,243,50,2861,583
2020-08-29,6723,1108,3804,1293,308,65,2611,-250
2020-09-09,7957,1234,4824,1020,343,35,2790,179
