date,total_confirmed,confirmed,total_recover,recover,total_death,death,total_active,active
2020-03-14,12,12,4,4,2,2,6,6
2020-03-28,135,123,7,3,18,16,110,104
2020-04-11,490,355,22,15,40,22,428,318
2020-04-25,998,508,105,83,78,38,815,387
2020-05-09,1539,541,230,125,98,20,1211,396
2020-05-23,2105,566,515,285,132,34,1458,247
2020-06-06,2435,330,876,361,164,32,1395,-63
2020-06-20,2900,465,1387,511,177,13,1336,-59
2020-07-04,3528,628,1828,441,183,6,1517,181
2020-07-18,5520,1992,2306,478,197,14,3017,1500
2020-08-01,6532,1012,3979,1673,206,9,2347,-670
2020-08-15,8439,1907,4624,645,230,24,3585,1238
2020-08-29,10796,2357,6066,1442,260,30,4470,885
2020-09-12,14218,3422,7489,1423,289,29,6440,1970
2020-09-13,14379,161,7681,192,294,5,6404,-36
