date,total_confirmed,confirmed,total_recover,recover,total_death,death,total_active,active
2020-03-08,6,6,0,0,1,1,5,5
2020-03-16,12,6,4,4,2,1,6,1
2020-03-24,68,56,6,2,11,9,51,45
2020-04-01,216,148,11,5,18,7,187,136
2020-04-09,405,189,20,9,37,19,348,161
2020-04-17,658,253,46,26,55,18,557,209
2020-04-25,900,242,91,45,72,17,737,180
2020-05-03,1058,158,151,60,80,8,827,90
2020-05-11,1482,424,213,62,93,13,1176,349
2020-05-19,1684,202,408,195,119,26,1157,-19
2020-05-27,2132,448,538,130,137,18,1457,300
2020-06-04,2325,193,717,179,150,13,1458,1
2020-06-12,2554,229,1054,337,156,6,1344,-114
2020-06-20,2819,265,1257,203,166,10,1396,52
2020-06-28,3088,269,1516,259,170,4,1402,6
2020-07-06,3700,612,1714,198,173,3,1813,411
2020-07-13,5160,1460,1892,178,181,8,3087,1274
