date,total_confirmed,confirmed,total_recover,recover,total_death,death,total_active,active
2020-03-01,0,0,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0,0,0
2020-03-25,2,2,0,0,1,1,1,1
2020-04-02,12,10,1,1,3,2,8,7
2020-04-10,25,13,10,9,5,2,10,2
2020-04-18,37,12,15,5,6,1,16,6
2020-04-26,52,15,26,11,6,0,20,4
2020-05-04,73,21,49,23,6,0,18,-2
2020-05-12,105,32,62,13,6,0,37,19
2020-05-20,110,5,77,15,6,0,27,-10
2020-05-28,116,6,99,22,6,0,11,-16
2020-06-05,119,3,109,10,6,0,4,-7
2020-06-13,141,22,116,7,8,2,17,13
2020-06-21,223,82,139,23,10,2,74,57
2020-06-29,234,11,212,73,11,1,11,-63
2020-07-07,242,8,221,9,11,0,10,-1
